City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,concordia,-31.393,-58.0209,45.79,97,100,5.1,AR,1690424279
84,soio,-6.1349,12.3689,69.46,90,5,6.24,AO,1690424279
85,santa ana,33.7456,-117.8678,100.42,45,0,10.36,US,1690424041
86,lincoln,40.8,-96.667,89.87,76,0,5.75,US,1690424279
87,prince rupert,54.3161,-130.3201,62.69,82,20,11.5,CA,1690424279
88,kingston,17.997,-76.7936,86.95,79,20,9.22,JM,1690424279
89,ust-nera,64.5667,143.2,57.96,58,100,7.4,RU,1690424279
90,playa blanca,28.8643,-13.8281,71.8,77,9,18.75,ES,1690424280
91,kirensk,57.7853,108.1119,75.13,64,99,3.33,RU,1690424280
92,la ronge,55.1001,-105.2842,53.85,87,100,14.97,CA,1690424280
93,dhidhdhoo,6.8833,73.1,81.91,75,90,6.2,MV,1690424280
94,kodiak,57.79,-152.4072,58.51,82,100,6.91,US,1690424280
95,banda aceh,5.5577,95.3222,84.67,65,100,11.34,ID,1690424280
96,klaksvik,62.2266,-6.589,47.32,84,68,7.67,FO,1690424280
97,hlukhiv,51.6782,33.9162,61.86,94,63,6.71,UA,1690424280
98,kawambwa,-9.7915,29.0791,55.98,58,25,9.1,ZM,1690424281
99,malvan,16.0667,73.4667,77.7,90,100,19.73,IN,1690424281
100,ushuaia,-54.8,-68.3,31.66,69,0,5.75,AR,1690423989
101,terrace,54.5163,-128.6035,68.22,52,75,6.91,CA,1690424205
102,tolanaro,-25.0319,46.9987,66.06,60,85,10.42,MG,1690424281
103,saint croix,17.7397,-64.7388,81.05,78,0,10.36,VI,1690424030
104,pandan,14.0453,124.1694,86.05,71,100,14.54,PH,1690424002
105,tiksi,71.6872,128.8694,45.93,71,33,6.38,RU,1690424281
106,enewetak,11.3474,162.3373,83.35,77,100,13.44,MH,1690424281
107,luderitz,-26.6481,15.1594,54.14,70,0,7.25,,1690424282
108,yellowknife,62.456,-114.3525,75.72,33,20,13.8,CA,1690424282
109,abra pampa,-22.7205,-65.697,39.22,53,4,3.22,AR,1690424282
110,ocean city,39.2776,-74.5746,76.98,89,5,10.22,US,1690424282
111,tazacorte,28.629,-17.9293,72.57,80,75,14.97,ES,1690424282
112,buka,40.8108,69.1986,87.39,16,4,8.9,UZ,1690424282
113,souillac,-20.5167,57.5167,66.58,94,20,3.44,MU,1690424282
114,usogorsk,63.4106,48.6872,59.32,73,100,6.26,RU,1690424283
115,praia da vitoria,38.7333,-27.0667,71.76,88,20,6.55,PT,1690424283
116,namibe,-15.1961,12.1522,59.77,91,69,8.88,AO,1690424283
117,kudahuvadhoo,2.6708,72.8944,82.85,78,36,11.01,MV,1690424283
118,puerto natales,-51.7236,-72.4875,29.52,92,100,2.64,CL,1690424283
119,iskateley,67.6803,53.1512,63.34,71,99,3.76,RU,1690424283
120,inarajan village,13.2736,144.7484,81.79,91,100,11.9,GU,1690424284
121,ulanhot,46.0833,122.0833,79.21,66,100,7.07,CN,1690424284
122,okondja,-0.6549,13.6753,73.49,82,62,1.63,GA,1690424284
123,isafjordur,66.0755,-23.124,44.47,87,99,11.77,IS,1690424284
124,mga,59.75,31.0667,60.73,99,44,4.79,RU,1690424284
125,beau vallon,-20.4189,57.6953,67.21,94,20,3.44,MU,1690424284
126,hammerfest,70.6634,23.6821,52.25,87,100,5.75,NO,1690424285
127,port mathurin,-19.6833,63.4167,74.53,79,51,17.47,MU,1690424285
128,nabire,-3.3667,135.4833,86.2,66,70,2.89,ID,1690424076
129,prado,-17.3411,-39.2208,72.82,68,82,4.92,BR,1690424285
130,kosh-agach,50.0,88.6667,65.32,39,94,2.68,RU,1690424285
131,st. john's,47.5649,-52.7093,66.27,84,100,20.71,CA,1690424035
132,nemuro,43.3236,145.575,67.42,91,100,6.91,JP,1690424009
133,talnakh,69.4865,88.3972,78.21,53,81,6.08,RU,1690424286
134,saipan,15.1355,145.701,83.1,100,40,12.66,MP,1690424286
135,khandyga,62.6667,135.6,71.78,30,0,12.21,RU,1690424069
136,rehoboth,-23.3167,17.0833,53.28,25,0,2.51,,1690424286
137,udachny,66.4167,112.4,71.46,52,99,10.54,RU,1690424286
138,boca do acre,-8.7522,-67.3978,77.18,52,52,2.08,BR,1690424286
139,humanes de madrid,40.2504,-3.8306,76.24,37,0,1.01,ES,1690424287
140,sitka,57.0531,-135.33,60.69,82,100,3.44,US,1690424287
141,guerrero negro,27.9769,-114.0611,71.89,73,4,14.16,MX,1690424287
142,santa marta,11.2408,-74.199,82.45,83,75,9.22,CO,1690424170
143,jamestown,42.097,-79.2353,71.19,97,100,11.5,US,1690424017
144,ulladulla,-35.35,150.4667,67.08,30,0,6.22,AU,1690424287
145,kone,-21.0595,164.8658,76.01,39,0,9.8,NC,1690424287
146,palikir - national government center,6.9248,158.1611,86.85,70,75,9.22,FM,1690424288
147,ilulissat,69.2167,-51.1,46.42,66,0,4.61,GL,1690424024
148,rio preto da eva,-2.6994,-59.6997,78.01,57,16,2.86,BR,1690424288
149,severobaykal'sk,55.65,109.3167,56.98,86,100,3.09,RU,1690424288
150,woolgoolga,-30.1106,153.2007,67.05,54,0,6.55,AU,1690424288
151,kolonia,50.9333,6.95,63.88,67,0,9.22,DE,1690424005
152,taroa,8.7058,171.2275,82.65,78,100,11.34,MH,1690424288
153,vilyuchinsk,52.9306,158.4028,73.67,80,99,7.09,RU,1690424289
154,basco,20.4487,121.9702,85.5,73,100,32.88,PH,1690424047
155,tizi-n-tleta,36.5457,4.0571,73.13,50,0,5.1,DZ,1690424289
156,woods creek,47.8787,-121.8985,73.89,58,77,5.01,US,1690424289
157,jastrowie,53.4205,16.8176,50.4,93,3,5.39,PL,1690424289
158,atafu village,-8.5421,-172.5159,83.34,75,100,17.98,TK,1690424289
159,colombo,6.9319,79.8478,78.94,86,100,6.26,LK,1690424249
160,aasiaat,68.7098,-52.8699,35.74,96,32,6.76,GL,1690424289
161,princeville,45.7668,-61.2985,72.32,83,0,10.36,CA,1690424290
162,constantia,44.1833,28.65,68.7,84,99,13.58,RO,1690424036
163,whangarei,-35.7317,174.3239,55.49,84,54,11.86,NZ,1690424290
164,kenai,60.5544,-151.2583,59.14,90,100,12.66,US,1690424290
165,ingeniero jacobacci,-41.3427,-69.5448,33.4,86,99,2.46,AR,1690424290
166,broken hill,-31.95,141.4333,66.29,33,3,20.58,AU,1690424279
167,port lincoln,-34.7333,135.8667,63.66,56,100,20.76,AU,1690424092
168,puerto baquerizo moreno,-0.9,-89.6,75.43,80,99,11.97,EC,1690424291
169,markaz-e hukumat-e darweshan,31.1323,64.1934,88.43,25,1,9.04,AF,1690424291
170,mili,6.0815,171.735,82.98,74,19,9.37,MH,1690424291
171,dudinka,69.4058,86.1778,78.62,60,67,3.91,RU,1690424039
172,rongelap,11.1635,166.8941,82.81,79,100,17.83,MH,1690424291
173,queenstown,-31.8976,26.8753,49.01,88,55,4.03,ZA,1690424291
174,jumla,29.2747,82.1838,64.18,94,100,2.24,NP,1690424291
175,torghay,49.6339,63.4981,72.05,63,1,5.99,KZ,1690424292
176,nagornyy,52.7959,83.5498,73.15,47,99,6.35,RU,1690424292
177,happy valley-goose bay,53.3168,-60.3315,68.31,60,75,0.0,CA,1690424029
178,thunder bay,48.4001,-89.3168,67.98,83,61,2.3,CA,1690424292
179,zaozersk,69.4005,32.4476,51.08,94,100,1.61,RU,1690424292
180,yemetsk,63.4721,41.7941,56.7,100,100,4.43,RU,1690424292
181,magadan,59.5667,150.8,61.54,98,100,7.09,RU,1690424293
182,sechura,-5.5569,-80.8222,72.07,74,2,16.04,PE,1690424293
183,kayangel,8.0823,134.7173,80.38,82,100,24.54,PW,1690424293
184,taulaga,-11.0553,-171.0883,82.02,69,20,14.61,AS,1690424293
185,grantsville,40.5999,-112.4644,89.31,25,0,23.0,US,1690424293
186,isla vista,34.4133,-119.861,88.99,62,0,6.91,US,1690424294
187,mount isa,-20.7333,139.5,76.77,53,9,13.8,AU,1690424294
188,kampong chhnang,12.1667,104.55,83.84,73,100,6.62,KH,1690424294
189,la passe,45.5549,-0.8967,66.97,94,15,6.58,FR,1690424060
190,penonome,8.5167,-80.3667,79.68,80,100,5.01,PA,1690424216
191,bredasdorp,-34.5322,20.0403,47.8,91,0,4.43,ZA,1690424294
192,zonguldak,41.25,31.8333,70.92,40,0,6.06,TR,1690424295
193,gamba,-2.65,10.0,69.15,96,48,4.36,GA,1690424295
194,noosa heads,-26.3833,153.15,70.11,59,97,12.75,AU,1690424014
195,margate,51.3813,1.3862,61.9,94,100,10.0,GB,1690424295
